"Age ","Gender","Village - town","Music 1","Music 2","Music 3","Music 4","Music 5","Music 6","Music 7","Music 8","Movies_1","Movies_2","Movies_3","Movies_4","Movies_5","Movies_6","loneliness_1","loneliness_2"
16,"female","city",2,,3,2,2,1,,4,4,5,3,1,4,5,1,1
26,"female","village",3,1,3,1,1,4,5,1,4,3,4,3,5,4,3,1
15,"male","city",5,3,2,1,3,4,5,2,1,4,4,2,3,5,2,3
21,"female",,2,3,3,1,5,3,3,1,4,2,4,5,3,2,2,4
20,"male","village",,3,5,2,2,1,1,3,5,2,3,3,4,2,3,3
22,"male","village",3,,2,4,1,3,4,2,2,3,4,3,2,3,2,2
17,"female","city",2,3,4,5,2,3,2,1,3,2,1,3,5,4,2,5
19,"female","city",5,3,2,5,4,2,2,2,1,2,5,1,2,3,3,2
20,"female","village",2,2,2,4,1,1,2,5,4,2,3,5,5,4,2,5
26,"","village",4,2,5,4,1,2,2,5,5,4,1,3,3,,2,4
19,"male",,1,1,1,3,5,3,,5,4,5,2,3,,1,3,4
18,"male","city",2,4,2,4,2,5,4,4,5,1,1,2,1,5,4,2
22,"female","city",2,1,3,2,2,2,1,2,5,,1,2,2,3,4,1
20,"female","city",1,2,2,2,2,4,3,1,1,2,5,,2,3,2,2
24,"female","village",1,2,5,5,4,4,,5,3,1,5,4,1,5,3,2
16,"male","city",4,5,4,5,2,1,1,1,3,5,3,4,1,2,4,2
26,"male","city",5,5,3,4,3,,4,3,1,3,1,1,4,1,1,5
17,"male","village",2,2,4,2,,2,3,1,2,1,5,5,5,,2,4
23,"male","village",1,2,5,1,,5,4,3,3,2,2,,4,2,3,3
22,"male","village",3,3,2,5,3,1,5,1,3,4,1,5,1,,4,3
20,"female","village",3,1,3,3,4,2,1,2,,5,2,1,1,1,2,4
23,"female",,4,4,2,5,2,5,4,5,1,2,4,4,2,2,2,1
,"male","city",4,4,2,2,1,,4,3,5,4,5,1,2,4,3,3
20,"female","village",1,5,,2,4,5,3,2,1,1,3,2,2,4,4,2
27,"male","village",2,4,,,,5,2,1,2,2,3,3,3,1,4,3
21,"female","city",3,2,2,3,4,4,3,4,3,3,3,4,5,1,4,
17,"male","city",1,5,1,5,2,4,3,5,3,5,5,3,4,2,3,3
19,"female","city",3,4,1,2,2,1,2,,3,2,2,2,5,4,5,2
19,"female","city",2,3,3,1,5,2,2,1,3,2,2,2,1,4,4,3
18,"female","city",4,3,2,3,5,3,1,1,3,3,5,,2,2,2,3
22,"female","city",5,1,4,3,1,,,3,4,4,2,3,3,5,1,3
21,"female","village",3,1,5,1,5,4,5,,3,5,2,,2,3,4,3
15,"female","city",3,1,4,3,5,2,2,4,2,3,,4,5,5,4,2
15,"female","city",4,2,,1,3,5,1,1,3,3,1,4,,1,4,4
25,"male","city",3,3,5,1,2,1,,3,3,2,3,5,1,2,3,4
20,"female","city",2,,2,1,4,3,3,1,1,2,5,1,1,3,3,3
18,"female","city",5,5,3,5,2,4,1,1,3,3,4,4,4,,3,2
24,"","village",4,1,1,2,5,4,4,4,3,1,1,1,4,3,5,2
17,"male","village",5,4,1,1,2,3,2,5,,3,3,1,,2,5,2
15,"female","city",2,3,1,1,5,,5,5,3,,1,4,,1,2,5
23,"female","city",5,1,,3,,3,4,5,3,4,2,3,1,2,,3
16,"female","city",4,2,5,2,3,3,3,5,1,3,1,4,1,1,2,4
24,"female","village",5,2,1,5,5,4,2,1,3,4,5,2,5,5,2,4
17,"female","city",3,4,4,5,2,1,4,5,,3,1,4,,5,2,3
23,"male","city",,1,5,4,3,4,,4,3,3,1,5,4,2,3,4
20,"male","city",3,4,5,3,4,3,4,2,5,3,3,1,5,3,3,2
19,"male","city",1,2,,3,3,1,1,4,2,2,4,3,1,4,3,4
18,"female","city",3,1,3,2,5,2,1,4,4,2,2,5,,4,,2
23,"male","city",2,3,3,2,2,1,2,2,1,2,1,1,,1,5,4
19,"female","village",1,1,1,5,3,1,2,2,2,3,3,4,4,5,1,3
24,"female","city",3,2,2,4,4,,5,4,4,,4,2,1,1,5,1
23,"",,1,1,1,1,,2,1,2,5,2,,4,5,4,3,3
22,"male","village",,5,5,2,5,1,4,5,,5,3,,3,3,4,
15,"female","village",2,5,,2,5,2,3,3,1,3,1,4,1,1,,3
20,"male","village",5,1,3,5,3,3,5,5,3,3,4,3,1,4,3,1
22,"male","village",,2,2,4,2,2,3,4,1,3,4,1,3,1,2,3
,"male","city",5,,3,2,5,3,3,3,2,4,5,1,3,1,4,4
23,"male","city",,1,5,4,1,4,4,1,4,2,2,4,3,1,4,4
16,"male","city",2,4,1,5,1,3,3,5,1,2,4,4,4,2,2,4
21,"male","city",3,3,3,3,3,3,3,3,2,2,4,3,4,5,3,2
26,"male","city",1,5,5,5,5,3,5,3,4,1,1,3,5,1,3,4
22,"male","city",5,2,3,2,3,5,3,4,3,4,4,3,4,5,4,2
19,"female","village",2,4,3,,3,5,2,3,5,4,1,5,1,2,1,4
19,"female","village",4,5,2,4,4,5,1,4,5,5,4,,4,3,2,3
22,"male","village",5,4,5,5,3,4,3,2,5,1,5,3,2,2,4,2
21,"male","city",1,2,5,1,4,5,2,3,4,3,1,1,5,3,3,4
23,"female","city",2,1,1,3,4,2,3,3,2,3,2,2,3,1,2,5
24,"female","city",,2,5,4,4,2,3,1,3,5,2,2,1,5,4,2
16,"female","village",5,5,5,5,3,5,1,,1,5,1,2,1,2,4,2
16,"female","city",3,4,4,3,1,5,,4,4,3,5,1,3,3,4,4
16,"female","city",2,3,2,,5,1,5,5,2,1,3,5,5,,3,5
21,"female","city",4,5,3,,2,1,3,,1,5,3,3,1,2,2,5
19,"male","village",4,5,1,1,3,1,,5,4,1,3,4,3,4,3,2
20,"female","city",5,2,1,2,5,5,2,,5,2,,4,,5,1,5
20,"male","city",3,3,3,3,5,1,4,1,5,4,4,1,1,3,4,3
21,"male","city",3,1,4,5,5,5,1,2,2,2,4,,5,3,3,2
19,"female","village",4,1,1,3,4,4,2,1,3,5,5,5,2,2,1,4
,"female","village",4,1,2,2,4,3,5,3,,,3,4,1,3,2,4
26,"female","village",1,5,3,4,4,3,3,1,5,4,1,4,3,3,,4
19,"male","city",4,3,1,,1,1,5,1,2,1,3,3,3,5,3,3
21,"female","city",3,5,2,5,2,1,2,1,3,1,,1,4,2,2,3
21,"male","city",2,4,3,4,4,4,3,1,1,1,2,1,3,1,3,3
23,"NA","city",4,2,,2,5,1,5,4,4,,2,3,4,4,4,2
22,"female","village",1,1,5,1,1,5,2,4,,4,5,5,5,5,3,3
18,"male","city",1,4,4,4,2,5,3,1,1,4,2,5,3,5,5,1
19,"male","city",4,2,2,1,4,1,4,3,,,4,4,4,5,3,3
,"female","city",,3,,3,4,1,2,4,2,5,4,4,5,1,3,
23,"female","village",1,2,4,5,4,5,5,1,4,1,,1,4,4,4,1
,"female","city",5,4,1,3,2,3,3,4,3,,5,1,5,1,3,4
22,"male","village",3,3,3,,4,1,,1,2,,,5,4,,4,5
17,"male","village",2,1,2,2,1,1,1,5,,1,,,5,2,4,3
21,"female","village",2,4,3,4,1,2,4,5,3,2,3,5,4,4,4,5
18,"male","city",2,1,3,3,5,5,2,5,2,1,4,4,5,4,3,1
24,"male","village",5,5,2,1,3,3,,1,4,3,2,3,1,2,4,2
16,"female","city",5,2,1,1,5,,2,5,2,4,5,2,4,1,2,4
19,"female","village",3,2,1,3,2,1,4,1,3,4,4,5,1,1,5,4
18,"female","city",5,4,2,,4,,3,3,5,1,4,2,4,1,1,4
24,"female","village",3,4,5,1,4,4,3,5,3,5,1,,3,4,1,4
19,"male","city",3,2,5,4,2,5,5,4,5,4,2,4,1,2,2,4
19,"male","city",1,2,3,1,2,4,5,5,4,3,5,4,5,4,2,4
16,"female","city",,3,1,5,4,2,2,3,2,2,2,2,3,5,3,3
20,"female","city",5,2,3,1,1,5,4,1,1,5,4,1,2,3,4,3
19,"female","city",2,5,4,5,1,2,4,3,1,4,4,4,4,2,3,4
18,"female","village",1,4,1,,4,3,2,5,1,4,4,3,1,5,5,3
19,"female","village",1,2,1,5,2,5,3,5,4,3,3,2,2,4,5,2
21,"female","city",1,2,2,2,4,2,4,2,5,2,1,1,2,5,3,2
18,"male",,5,4,2,1,1,1,,2,2,2,5,,4,2,3,
19,"","city",5,,5,1,5,3,2,3,1,1,4,3,3,3,3,5
23,"female","village",2,2,5,3,2,1,4,2,2,2,2,3,4,3,4,3
22,"female","city",1,2,1,4,3,,4,3,2,1,4,1,1,2,2,4
23,"female","village",1,3,3,4,1,1,2,5,5,1,2,5,,2,4,3
20,"female","city",4,5,4,1,5,3,5,1,2,1,3,1,,,1,4
23,"male","village",1,3,1,5,1,4,4,1,5,3,1,4,1,2,5,3
22,"male","village",2,5,2,2,4,2,5,1,5,5,1,1,5,4,5,2
22,"female",,3,1,3,2,5,1,5,2,2,1,1,4,1,4,3,2
15,"male","village",5,1,4,2,5,2,3,3,,2,3,4,3,5,4,4
17,"female","village",1,,5,5,4,4,4,2,2,2,2,4,1,4,4,1
,"male","city",4,2,2,3,,3,5,1,3,4,1,4,1,1,2,3
22,"female","village",4,2,3,4,1,3,1,2,,1,2,2,1,2,4,3
20,"female","village",5,1,4,3,5,3,,4,5,2,1,3,5,4,2,3
19,"male",,2,1,1,,1,3,3,1,2,3,4,2,1,5,2,2
24,"female","city",1,3,3,5,4,2,,2,2,1,1,3,5,1,3,
17,"male","city",1,,4,,1,1,4,2,4,1,5,2,,2,,3
19,"female","village",3,2,,1,1,4,4,1,,,2,5,4,5,4,
17,"female",,3,3,3,3,1,2,,1,4,2,1,2,2,4,1,5
22,"female",,3,,2,1,5,4,4,4,2,3,1,3,3,5,3,2
21,"male",,1,2,5,1,2,,2,1,2,2,2,2,3,2,1,5
21,"NA","village",,2,4,1,3,1,4,1,5,1,1,5,3,,2,3
19,"male","city",1,3,4,5,5,1,2,5,5,1,3,4,4,5,1,5
19,"male","city",1,2,5,2,3,2,3,4,2,2,2,1,2,1,2,2
15,"male","city",1,4,2,1,3,2,1,2,5,2,3,4,4,5,4,2
24,"female","city",3,5,4,4,2,5,3,2,5,5,4,2,4,4,2,2
23,"female",,3,5,1,5,3,1,3,3,,3,1,5,3,5,4,2
19,"male","village",2,2,3,1,4,5,5,4,5,1,5,1,4,5,3,3
23,"female","village",5,1,4,5,1,4,2,5,4,2,4,4,4,4,1,3
15,"female","village",3,5,4,4,3,5,4,5,2,1,4,1,4,1,3,3
16,"male","village",4,4,2,1,1,4,3,4,1,5,4,,1,1,2,3
19,"male","village",2,,1,4,2,4,4,5,1,1,2,4,3,2,3,5
20,"male","city",1,4,5,1,3,2,2,5,2,1,5,2,3,5,4,2
21,"female","city",1,5,,5,,4,1,3,3,2,2,5,3,4,4,3
24,"female","city",2,4,5,4,3,1,4,1,1,5,2,4,3,4,3,2
23,"female","city",4,2,2,1,,1,3,5,3,4,3,4,5,1,4,3
21,"female","city",5,4,5,5,5,4,5,2,4,4,4,2,3,2,5,1
19,"female","village",4,5,2,2,1,2,1,5,4,1,1,5,2,1,2,4
17,"male","village",2,1,1,2,4,5,4,4,3,1,4,5,2,5,3,3
18,"male","city",3,3,1,1,2,2,3,1,5,2,5,1,2,2,2,4
24,"female","village",3,5,4,1,3,4,5,4,,4,5,3,,,2,4
20,"","city",3,5,1,,1,3,1,2,3,2,4,3,5,4,1,3
19,"female","city",5,3,1,3,5,1,3,2,3,4,2,,3,3,5,1
22,"female","city",4,1,3,4,2,1,1,2,4,4,3,3,5,5,4,3
18,"male","city",4,2,2,3,4,5,4,1,4,1,2,,3,2,2,3
22,"male","city",2,2,1,,5,3,1,,1,4,1,1,2,1,1,3
20,"male",,4,5,,5,2,5,2,1,4,,1,3,2,3,,3
20,"female","city",1,1,3,1,1,4,2,4,3,3,1,4,4,5,3,3
19,"female","city",1,3,1,1,4,4,3,2,1,,1,5,5,1,3,4
23,"NA",,3,2,1,2,1,3,4,5,3,2,1,2,1,5,3,2
17,"female","city",,1,3,3,4,3,2,3,3,3,1,2,3,4,1,5
21,"female","city",2,5,1,5,3,1,4,5,3,5,,2,5,1,3,2
20,"male","city",2,2,1,,5,1,1,4,2,3,1,3,1,1,2,2
18,"male","city",2,5,5,2,,5,2,1,3,5,3,4,4,2,2,4
17,"female","village",1,5,4,3,1,2,5,5,4,4,5,2,4,5,1,4
21,"female","city",5,4,2,4,4,,1,3,4,4,5,4,1,4,,4
21,"male","city",5,4,3,4,1,,4,4,3,4,3,4,1,1,2,3
15,"male","city",4,3,1,,2,3,2,2,2,5,5,2,1,3,5,2
22,"female","city",3,2,3,1,3,1,1,3,5,1,1,3,4,5,1,3
23,"male","city",5,3,3,4,3,4,5,5,5,1,2,3,3,3,1,2
21,"male","city",,3,2,1,5,1,3,3,1,5,2,2,2,5,,2
23,"male","city",1,5,3,5,2,1,4,5,5,5,5,2,5,1,4,2
,"male","city",5,,5,2,,5,2,4,4,3,2,2,3,,1,4
19,"male","city",4,1,1,1,3,1,2,1,5,1,5,4,3,1,3,3
18,"male","village",1,1,2,4,1,,2,3,2,2,5,1,2,,2,3
,"female","city",4,4,4,2,5,5,3,3,4,4,5,3,5,3,3,4
,"female","city",2,5,1,4,5,2,5,4,5,5,4,4,4,2,2,3
19,"male","city",4,4,2,3,3,3,2,3,2,1,3,1,5,2,4,4
17,"female","city",3,1,2,2,4,3,2,1,,4,2,1,5,2,3,4
19,"female","city",1,1,2,3,3,4,1,4,2,1,3,3,4,3,3,4
22,"female","city",4,1,3,4,4,4,3,3,3,1,4,1,3,2,2,3
21,"female","city",1,3,4,,4,2,5,1,2,2,3,4,4,1,2,4
22,"male","village",1,5,1,5,5,5,2,3,4,2,4,4,2,2,3,3
24,"female","village",2,3,3,3,3,1,1,2,3,4,5,2,3,2,4,2
21,"male","village",2,5,2,4,1,4,3,1,4,4,,,5,2,3,2
16,"female","city",2,,1,3,5,3,1,2,4,4,4,5,2,,2,4
23,"male","city",4,3,4,5,1,3,5,5,4,1,4,5,4,5,2,4
24,"female","city",5,4,5,2,2,3,2,2,5,1,5,3,2,4,,4
25,"female","city",1,3,5,2,3,4,2,1,1,4,2,3,,5,3,1
20,"female","city",2,2,5,3,4,4,1,2,2,3,3,2,4,4,3,3
22,"male","city",3,3,3,3,3,3,3,3,5,,5,5,4,3,5,3
19,"male","city",1,5,2,1,5,5,5,5,,,5,2,4,3,3,3
19,"female",,4,2,,4,4,4,3,4,4,2,3,2,,2,4,3
20,"male","city",2,5,4,2,5,3,3,5,2,1,,2,1,3,4,3
22,"male","city",5,2,2,1,1,3,3,1,3,3,2,2,1,3,4,4
19,"female","city",3,1,2,3,1,2,1,5,3,2,5,1,5,3,3,4
21,"female","city",4,1,1,2,5,,,4,5,2,5,2,2,1,5,4
16,"female","city",2,,3,2,1,3,1,2,4,3,1,2,2,1,4,3
20,"","city",4,2,2,5,5,1,2,4,3,2,3,3,4,1,2,1
19,"male","city",1,,5,5,3,1,5,5,3,1,1,,1,1,3,3
23,"female","city",1,1,,3,1,2,4,1,5,1,3,1,5,5,4,3
20,"female","village",3,3,3,3,3,3,3,3,,2,5,2,5,4,2,
22,"","city",1,5,4,,3,2,,5,4,3,4,2,2,2,5,
22,"female","city",1,1,3,4,4,1,5,3,2,3,5,1,4,3,2,3
21,"female","city",2,3,4,2,3,3,1,2,3,5,3,5,3,1,1,5
18,"female","city",1,2,3,1,2,1,1,3,,2,3,4,4,1,2,4
21,"male","city",1,3,4,4,1,3,2,3,1,5,5,2,5,5,2,3
18,"male","city",2,1,5,3,,3,3,3,1,2,1,3,1,2,1,5
23,"male","city",5,2,1,3,4,1,1,2,2,1,2,4,4,2,3,1
17,"male","city",4,5,2,2,4,,2,1,4,1,3,4,1,1,2,4
19,"male","city",5,2,2,2,3,2,,1,5,1,,4,3,2,4,2
20,"male","city",2,4,5,2,2,4,1,4,,4,5,3,4,2,4,2
22,"female","village",5,3,2,4,4,4,3,5,4,,2,1,5,1,1,5
22,"female","village",3,3,3,,5,4,2,2,3,3,5,1,3,5,2,5
16,"male","city",1,4,2,4,1,5,5,3,4,4,4,1,1,5,4,3
21,"male","village",5,2,1,5,1,3,3,2,2,3,3,5,4,2,4,3
19,"female","village",1,4,5,1,2,1,2,4,2,4,2,,2,5,4,2
21,"male","city",,3,1,3,5,4,4,3,3,4,5,3,1,5,3,2
,"female","village",3,,4,3,1,1,3,5,1,1,5,2,3,1,1,3
20,"female","city",3,3,5,1,1,3,1,4,4,4,,1,3,3,2,3
22,"female",,5,5,5,5,2,5,1,,3,4,1,4,5,5,2,3
20,"male","city",2,1,4,3,3,3,3,4,1,,3,1,5,2,2,2
17,"male","city",4,4,5,1,1,5,1,4,5,5,2,4,5,3,1,4
18,"female",,5,5,2,4,1,2,3,2,2,1,4,3,5,4,2,4
19,"female","city",3,3,2,4,5,2,4,4,3,3,1,3,3,,3,2
21,"male","city",4,4,1,,,5,5,3,3,5,3,5,3,5,3,3
19,"male","city",2,1,4,4,3,2,3,2,4,,5,5,4,5,2,3
20,"female","village",5,2,4,5,5,2,2,2,3,2,2,1,5,1,2,4
20,"female","village",4,5,5,1,2,1,4,1,5,2,2,3,2,3,2,5
22,"female","village",2,4,4,1,3,5,4,1,1,3,3,4,,5,4,4
20,"male","city",4,2,5,4,3,3,1,4,5,5,3,3,5,5,2,5
19,"","city",3,4,3,4,1,2,3,5,4,1,5,,1,1,4,2
20,"male","village",2,4,5,2,4,3,2,2,3,5,4,1,5,3,3,4
18,"NA","city",3,1,2,4,4,3,5,4,3,1,4,1,2,,2,5
22,"male","city",2,5,3,1,2,5,5,5,2,4,5,2,2,4,3,3
19,"male","village",2,2,,2,,3,2,4,1,4,,1,5,3,5,3
19,"female",,4,2,2,4,2,5,3,3,2,3,1,2,5,4,3,3
21,"female","village",2,3,,2,5,2,4,1,4,4,2,2,1,1,1,5
22,"female","village",2,4,1,1,5,4,5,1,5,1,2,2,3,4,1,5
21,"male","city",2,3,4,3,4,1,3,4,4,4,5,3,2,4,3,3
19,"male","city",4,3,4,2,4,4,2,5,3,5,1,1,5,5,3,3
18,"female","village",,1,,2,3,2,5,5,1,1,5,3,4,1,3,4
19,"female","village",1,4,4,1,4,1,,2,3,1,1,,3,1,3,2
21,"male","city",4,5,5,3,4,5,2,5,1,2,1,3,5,1,4,1
20,"NA","city",4,3,4,,3,2,1,3,1,5,2,1,3,5,4,3
24,"female","city",5,1,1,2,4,4,3,2,2,1,3,3,2,5,3,1
21,"NA","city",2,3,5,4,1,1,,5,4,4,2,2,,2,2,5
20,"male","city",5,5,5,4,,3,2,4,4,2,,3,4,3,4,4
18,"female","village",2,2,1,4,5,5,4,,3,4,4,4,1,2,3,1
16,"female","village",4,3,3,4,2,4,1,4,,5,3,2,2,1,5,2
18,"female","city",2,4,3,2,2,2,1,5,1,,4,,5,2,3,2
15,"male","city",5,3,3,2,5,3,1,4,,,3,1,2,2,5,
24,"female","city",3,4,4,2,5,2,1,5,2,4,3,4,5,3,3,3
15,"male","city",5,5,1,1,2,1,4,3,2,3,1,3,3,1,2,3
21,"male","village",5,2,3,1,5,1,1,2,3,2,5,1,4,1,4,2
18,"male","city",5,3,4,1,3,1,1,2,3,4,5,1,4,3,,3
22,"female","city",5,2,2,2,3,3,3,1,1,,2,5,3,1,3,2
17,"male","village",2,1,1,1,2,1,3,1,4,5,2,3,5,1,4,4
19,"male","city",5,1,5,4,2,2,2,5,5,1,1,1,1,5,2,4
,"male","city",,4,4,4,,2,3,5,5,2,3,3,3,1,4,3
22,"female","village",2,3,,1,1,5,5,4,2,3,2,5,3,3,3,4
25,"male","village",5,2,1,2,2,5,5,4,4,2,4,,,2,3,3
20,"male","city",1,2,3,3,4,5,5,2,1,,3,3,5,4,5,2
19,"male","city",1,2,,3,5,2,4,5,4,2,4,4,5,2,2,4
17,"male","city",5,3,5,3,3,1,5,5,4,4,1,1,2,5,3,3
22,"female","city",1,3,5,2,3,2,1,5,1,3,4,4,1,2,4,2
18,"male","city",3,2,2,1,5,3,2,4,3,3,4,2,5,2,4,2
18,"NA","village",3,1,4,2,2,3,5,5,3,5,1,4,4,5,4,2
23,"male","city",4,5,5,5,3,5,1,4,3,5,5,2,5,3,2,3
23,"female","city",1,4,1,4,3,4,5,5,4,1,3,1,5,5,4,2
22,"female","village",5,3,1,5,5,5,1,1,1,1,,1,3,2,3,3
15,"female","city",4,1,5,2,3,5,,5,1,3,5,3,4,2,4,2
21,"male","village",2,4,4,5,2,4,1,5,2,3,,4,3,3,4,2
21,"female","village",2,1,2,3,1,3,2,5,,5,5,4,,3,3,3
22,"","city",4,,1,4,2,4,5,4,3,4,1,3,1,5,3,3
21,"male","city",2,2,2,5,4,4,1,5,5,2,3,,1,1,4,3
18,"female","village",,3,2,1,5,3,5,5,1,2,5,1,2,3,4,3
19,"male","village",3,,2,4,5,1,5,4,1,2,5,1,2,1,3,4
,"","city",,4,4,3,3,4,4,2,5,5,5,4,2,,1,5
16,"","city",4,5,3,3,3,3,3,3,5,4,1,1,1,2,2,3
20,"male","city",1,3,4,,1,5,3,5,2,2,1,1,4,5,2,3
22,"female","city",1,1,3,1,1,4,3,4,,1,3,2,2,,2,2
22,"female","city",3,4,1,4,5,1,2,,5,5,4,1,1,4,5,2
20,"male","village",,3,5,2,3,5,3,3,1,3,3,3,4,2,2,5
19,"male","city",,4,3,4,4,3,3,2,,3,2,4,5,2,3,1
18,"female","village",3,4,3,3,5,3,5,5,4,5,2,4,4,2,2,3
19,"male","city",2,3,3,2,4,1,5,2,5,5,2,1,5,1,3,3
19,"female","city",5,4,3,3,5,1,1,2,4,1,2,1,2,4,3,3
21,"female","city",5,3,,5,4,4,5,3,2,1,2,1,5,1,,4
16,"male","village",2,2,3,4,5,5,5,2,5,1,2,1,2,4,3,3
25,"female","village",1,4,2,4,2,1,1,1,3,5,2,4,2,2,,4
15,"male","city",1,3,1,5,5,1,3,4,3,1,1,5,4,1,5,1
21,"female","village",2,2,3,5,2,5,5,2,,5,4,4,1,5,2,3
18,"female","village",3,4,4,3,4,1,4,,2,1,3,1,1,,3,4
19,"female","city",2,5,4,1,1,5,4,4,2,2,1,2,5,1,3,4
23,"female","city",1,1,2,4,3,3,5,1,3,5,1,1,2,4,5,2
22,"female",,4,2,1,4,5,2,2,3,5,3,4,3,4,5,1,4
16,"female","city",5,1,1,1,2,4,5,5,5,3,1,4,4,3,2,4
27,"female","village",5,2,4,3,5,4,4,3,3,5,1,1,2,5,3,3
20,"male","city",5,5,1,4,1,,1,,4,3,4,5,,2,3,4
20,"male","city",1,3,,2,5,5,2,5,5,1,1,4,1,2,4,1
23,"male","village",4,1,3,4,4,3,1,5,4,3,2,2,5,2,4,2
17,"male","city",5,4,,3,,,1,2,5,2,2,5,4,,3,2
20,"male",,5,4,4,5,3,5,,3,5,2,4,3,5,4,3,3
20,"male","city",5,5,3,5,2,3,5,3,5,,1,1,4,2,2,4
23,"female","village",3,5,5,5,5,5,,4,4,5,4,1,2,3,3,3
18,"female","city",5,3,5,3,1,4,1,5,,3,4,2,3,4,2,
19,"male","city",2,5,2,3,3,1,3,2,2,3,2,3,5,4,4,2
19,"male","city",2,5,3,5,5,4,1,5,2,3,2,2,3,4,2,4
23,"NA","city",2,5,1,5,4,3,1,4,,,1,3,1,3,1,3
15,"male","city",3,3,1,3,2,1,5,4,3,2,2,5,1,3,2,3
22,"female","city",4,1,3,4,2,4,5,2,,3,3,4,5,1,,1
18,"male","village",5,5,2,5,1,1,4,4,1,2,4,5,4,3,1,4
20,"male","village",2,4,4,1,2,1,4,2,2,3,5,4,3,5,2,4
20,"female","village",1,5,1,2,3,2,1,5,4,3,3,1,1,5,3,2
20,"male","city",3,1,1,4,5,4,3,3,3,3,,2,5,3,4,2
21,"male","village",3,3,2,5,1,3,1,2,2,1,,4,3,2,1,5
19,"male","city",4,1,1,2,2,5,5,1,3,4,2,2,1,4,4,3
19,"female","village",1,5,5,5,3,4,4,2,1,5,1,1,3,2,2,2
22,"male","city",2,1,2,5,5,4,3,4,2,2,3,,2,3,3,4
19,"female","village",1,5,5,1,5,3,2,3,2,2,2,4,2,4,5,1
22,"female","city",4,2,5,4,4,4,4,3,1,2,1,5,3,5,4,2
18,"female","village",3,,1,5,4,3,4,2,5,3,5,5,1,5,1,
20,"male","village",1,3,5,4,1,5,2,4,2,5,3,3,5,5,3,3
21,"male","village",2,2,1,2,,4,3,2,5,2,4,1,3,,,2
19,"male","village",3,2,2,2,2,5,2,2,5,3,2,5,5,1,4,
20,"female","city",2,,3,,4,,2,1,3,2,3,,3,4,3,3
19,"male","city",2,5,5,5,5,5,2,3,4,1,4,3,5,1,3,4
20,"male","city",2,3,5,1,,2,,1,,3,2,,2,,3,3
16,"female","village",2,1,3,5,,,2,1,5,4,1,4,,4,5,2
21,"male","city",4,3,5,2,5,,4,5,4,1,4,2,3,2,1,5
18,"male","village",,3,1,5,5,4,3,5,2,5,1,2,3,3,5,2
25,"female","village",2,5,5,2,1,3,3,2,4,4,1,3,,2,4,3
23,"female","city",1,1,3,5,,3,3,1,4,3,5,5,5,,3,3
19,"female","city",,3,5,1,3,5,5,5,,5,4,1,2,4,5,3
22,"male","village",4,1,,4,2,,,,3,1,3,2,5,5,5,1
17,"female",,1,1,3,2,4,2,3,1,1,,4,5,4,4,4,2
19,"","village",4,3,4,2,,3,4,,4,2,4,4,5,1,2,2
23,"female","village",3,2,2,,3,1,3,2,1,5,1,2,5,5,3,3
20,"female","city",2,4,2,4,2,4,4,2,3,1,1,4,4,1,2,5
23,"male","city",4,1,2,3,2,2,3,2,2,4,2,3,2,1,2,4
19,"male","village",5,1,5,5,1,5,3,2,3,1,4,3,4,2,3,3
23,"male","city",5,3,5,5,3,2,5,2,2,4,2,5,1,3,4,1
21,"female","village",3,2,1,1,4,3,1,1,5,1,1,4,5,,1,5
21,"female","city",3,3,2,1,4,2,3,5,4,3,3,1,2,4,5,2
20,"male","village",4,5,2,4,1,,2,5,2,,1,2,4,2,5,1
19,"female","village",,2,3,2,4,2,3,2,5,1,4,3,3,4,1,5
16,"male",,3,3,3,3,3,3,3,3,5,4,5,4,3,4,3,3
21,"female","village",1,3,1,5,1,4,1,4,1,1,4,4,1,1,5,2
19,"male","city",3,2,5,1,3,1,2,5,5,4,4,3,4,1,4,3
19,"male","village",2,2,4,1,1,5,1,3,5,1,3,2,2,4,3,3
23,"female","village",3,5,1,3,,5,5,1,3,5,2,3,5,1,3,2
21,"female","village",1,3,2,2,4,5,5,5,5,1,2,3,5,3,3,5
24,"female","city",4,5,4,4,1,1,1,1,1,3,,5,4,5,2,
19,"female","city",3,1,3,1,1,4,5,5,2,4,2,3,1,1,3,3
22,"female","city",4,4,1,3,1,4,2,4,2,2,1,3,1,3,3,3
21,"female","city",2,3,3,5,1,1,3,5,4,3,5,4,2,2,3,4
18,"male",,5,4,3,4,4,4,1,,4,4,2,3,5,5,3,4
22,"male","village",3,2,3,3,3,,5,3,1,3,4,1,3,3,2,4
22,"female","village",2,2,5,1,,4,,4,2,5,2,1,5,2,3,4
18,"female","city",2,4,2,2,3,2,1,2,2,2,3,4,1,5,5,2
23,"female","city",4,4,2,2,5,5,2,4,1,2,5,5,1,3,3,1
23,"male","village",2,5,,1,1,,5,3,3,1,2,1,2,2,1,3
19,"","city",3,5,3,3,5,5,1,1,3,4,,1,1,5,4,4
24,"female","city",4,5,1,4,4,5,3,3,3,5,1,1,4,4,5,1
20,"female","city",3,,4,1,5,1,5,2,2,5,1,1,5,4,3,2
21,"female","village",2,5,5,2,3,2,5,5,1,5,4,4,2,2,3,2
20,"female","village",3,1,2,4,1,5,,3,1,1,1,2,,4,3,2
20,"male","city",5,4,4,5,5,4,2,2,4,1,3,3,5,4,1,4
19,"male","city",1,4,3,,4,5,5,1,4,2,4,2,2,4,2,5
