"respondent_id","region","subscriber_status","tier","age","gender","tenure_months","wtp","satisfaction","prefers_dark_roast","brand_attach_1","brand_attach_2","brand_attach_3","brand_attach_4","brand_attach_5","needs_1","needs_2","needs_3","needs_4","needs_5","needs_6","needs_7","needs_8","needs_9","needs_10","needs_11","needs_12","pre_score","post_score"
178,"Atlantic","Current","Standard",47,"M",17,22.41,4.4,"Yes",2,3,3,3,4,3,3,2,3,3,2,3,4,2,3,3,5,NA,NA
179,"Atlantic","Lapsed","Signature",34,"M",77,25.14,5.2,"No",1,2,3,2,3,4,3,3,4,3,4,3,3,4,4,3,3,NA,NA
180,"Atlantic","Current","Standard",36,"F",23,22.46,5.1,"No",3,1,1,2,1,3,2,4,3,4,4,5,4,3,2,2,5,6,5.5
181,"Ontario_prospect","Lapsed","Signature",37,"F",1,16.22,5,"Yes",5,5,5,4,5,2,2,2,3,3,2,4,3,3,2,2,2,NA,NA
182,"Ontario_prospect","Current","Discovery",30,"M",26,19.52,8,"Yes",3,5,4,3,5,4,3,4,3,4,4,3,3,3,3,2,5,NA,NA
183,"Ontario_prospect","Current","Signature",44,"F",4,24.53,6.8,"No",5,4,4,5,4,3,3,4,4,1,1,1,1,2,3,2,3,NA,NA
184,"Atlantic","Current","Discovery",27,"M",4,31.92,6.7,"No",4,3,2,3,3,2,3,4,3,3,2,4,1,4,3,3,3,NA,NA
185,"Atlantic","Current","Discovery",21,"F",1,26.28,6.7,"No",4,4,4,3,5,3,2,1,2,4,2,5,4,4,2,2,3,NA,NA
186,"Ontario_prospect","Lapsed","Standard",38,"M",1,16.27,3.3,"Yes",2,2,3,3,2,5,3,3,4,3,5,4,5,2,3,3,3,NA,NA
187,"Atlantic","Current","Standard",37,"M",6,22.3,3.8,"Yes",3,3,2,2,2,2,3,3,2,2,3,2,3,2,3,4,5,NA,NA
188,"Atlantic","Current","Signature",38,"F",38,20.68,8.7,"No",4,5,5,5,4,2,2,2,2,4,4,3,2,1,3,1,3,4.3,3.7
189,"Atlantic","Lapsed","Standard",35,"F",17,17.61,6.6,"Yes",3,2,3,4,3,5,4,5,5,1,3,5,3,4,4,3,4,NA,NA
190,"Ontario_prospect","Current","Standard",31,"M",1,20.24,6.4,"No",5,5,3,4,5,4,5,4,5,5,5,4,4,3,4,2,3,NA,NA
191,"Atlantic","Current","Signature",30,"M",20,19.63,5.6,"Yes",2,3,4,4,5,4,4,4,3,2,3,2,3,2,3,3,4,NA,NA
192,"Atlantic","Current","Signature",48,"M",10,21.75,6.3,"No",3,3,2,2,2,3,4,3,4,4,3,4,3,3,4,2,3,NA,NA
193,"Atlantic","Current","Standard",31,"F",31,21.43,5.3,"Yes",5,5,5,5,5,3,3,2,1,3,3,3,3,3,2,3,3,NA,NA
194,"Ontario_prospect","Lapsed","Signature",32,"M",5,23.74,4.7,"No",2,3,4,3,4,3,3,3,5,5,5,4,5,2,1,2,3,5.9,5.9
195,"Atlantic","Current","Discovery",39,"M",6,35.69,5.4,"No",2,3,2,2,3,4,3,5,4,3,5,2,3,3,3,2,2,NA,NA
196,"Atlantic","Current","Signature",48,"M",2,23.24,7.9,"Yes",4,3,4,4,2,3,3,5,3,2,3,4,2,4,4,4,4,NA,NA
197,"Ontario_prospect","Current","Standard",40,"F",30,20.06,6.2,"No",2,4,2,4,4,4,3,4,4,3,3,3,3,5,4,5,4,NA,NA
198,"Ontario_prospect","Current","Standard",47,"F",38,16.52,7.2,"Yes",4,3,4,4,5,4,2,2,3,2,3,4,3,2,2,1,1,4.7,4.1
199,"Atlantic","Current","Signature",50,"M",30,20.66,5.4,"No",2,3,4,4,4,1,1,2,2,3,4,3,4,2,2,2,3,NA,NA
200,"Atlantic","Current","Standard",35,"M",21,19.87,6.3,"Yes",1,2,1,2,3,5,4,3,3,4,2,3,4,4,3,4,4,3.4,2.8
201,"Atlantic","Current","Standard",44,"F",2,19.93,5.3,"No",3,3,3,2,3,2,1,1,2,5,5,3,4,4,4,4,4,NA,NA
202,"Atlantic","Current","Signature",36,"M",8,26.24,5.9,"Yes",4,3,3,3,4,4,4,3,5,5,3,5,4,3,2,3,1,NA,NA
203,"Atlantic","Current","Standard",32,"M",33,20.38,5.6,"Yes",5,5,3,3,5,4,3,3,3,4,3,3,3,5,5,5,5,7.9,7.6
204,"Atlantic","Current","Standard",34,"F",4,27.8,5.2,"No",1,1,1,3,1,2,4,1,3,2,4,2,2,2,2,1,2,NA,NA
205,"Atlantic","Current","Discovery",29,"M",30,19.08,6.7,"No",2,2,2,2,2,5,5,5,5,3,2,3,2,3,3,2,2,7.3,7.6
206,"Atlantic","Current","Signature",51,"M",4,16.55,5.5,"Yes",2,2,2,4,2,4,4,4,4,4,3,4,4,2,3,2,2,NA,NA
207,"Ontario_prospect","Current","Standard",31,"F",63,16.74,6.5,"No",3,3,4,3,3,3,3,4,4,4,5,5,4,4,4,4,4,NA,NA
208,"Atlantic","Current","Standard",29,"M",25,25.51,7.1,"No",2,3,1,2,3,2,3,2,2,3,1,2,3,4,4,4,5,7.1,7
209,"Atlantic","Current","Standard",43,"F",13,16.03,7,"No",4,4,3,3,2,2,3,3,3,3,4,5,3,3,2,2,2,6.2,7.7
210,"Atlantic","Current","Standard",49,"F",11,22.25,6.1,"No",2,4,3,4,2,2,2,3,3,3,3,3,4,4,3,5,5,5.4,4.7
211,"Atlantic","Current","Standard",39,"F",61,23.92,6.5,"No",4,3,4,4,5,3,3,3,2,1,2,2,3,2,3,3,3,NA,NA
212,"Atlantic","Current","Standard",52,"M",10,17.36,6.2,"No",2,2,1,4,1,2,1,2,3,5,3,5,2,2,3,4,3,5.3,5.3
213,"Ontario_prospect","Current","Standard",30,"F",48,21.96,4.1,"No",2,3,4,3,2,4,3,3,4,4,4,3,4,3,3,4,3,NA,NA
214,"Atlantic","Lapsed","Standard",38,"M",16,18.67,5.1,"No",3,3,4,4,4,4,3,5,3,4,5,5,5,3,4,4,3,NA,NA
215,"Atlantic","Lapsed","Signature",31,"F",16,24.3,4.6,"No",1,1,2,1,1,1,1,2,2,2,1,2,2,4,2,3,3,NA,NA
216,"Atlantic","Lapsed","Discovery",39,"F",4,22.5,5.7,"Yes",4,4,4,3,3,4,3,2,3,3,3,4,4,3,4,4,3,NA,NA
217,"Atlantic","Current","Standard",62,"F",22,22.08,5.5,"Yes",3,3,4,4,4,3,2,3,2,4,2,3,4,4,3,5,2,6,7.2
218,"Atlantic","Current","Standard",38,"F",5,24.68,4.8,"Yes",4,3,4,3,3,3,1,3,1,4,2,3,5,5,5,5,4,NA,NA
219,"Ontario_prospect","Current","Standard",37,"F",12,22.81,6.6,"No",1,2,1,1,1,5,3,4,4,4,3,2,5,3,4,5,4,NA,NA
220,"Atlantic","Current","Standard",32,"M",13,21.76,6,"Yes",2,2,1,3,4,1,2,3,3,4,3,5,3,3,3,2,3,NA,NA
221,"Atlantic","Current","Signature",33,"F",3,31.79,7.2,"Yes",3,1,3,3,3,2,2,2,3,4,4,4,5,2,4,4,4,5,6.5
222,"Ontario_prospect","Current","Signature",41,"M",20,19.02,6.3,"No",2,2,3,2,3,4,4,3,3,2,3,4,2,4,2,5,3,NA,NA
223,"Atlantic","Lapsed","Standard",32,"M",2,26.6,5.1,"Yes",3,4,3,3,5,4,5,5,4,3,2,3,4,4,4,3,2,NA,NA
224,"Ontario_prospect","Current","Signature",34,"M",2,20.44,7.4,"Yes",4,2,4,3,3,4,3,5,2,3,3,3,4,5,4,4,3,NA,NA
225,"Atlantic","Current","Standard",30,"M",26,22.29,6.7,"Yes",3,4,2,2,3,4,4,2,4,4,5,4,4,4,2,3,3,NA,NA
226,"Atlantic","Current","Standard",29,"F",7,20.45,5.2,"Yes",2,4,4,3,3,3,3,3,4,2,3,5,5,3,3,3,2,NA,NA
227,"Ontario_prospect","Current","Standard",52,"M",29,15.11,6.5,"No",3,3,3,4,4,2,3,2,1,4,4,4,4,4,4,4,3,NA,NA
228,"Ontario_prospect","Current","Standard",48,"F",10,10.07,5.4,"No",1,1,1,2,2,3,3,4,3,2,1,2,4,4,2,2,3,NA,NA
229,"Atlantic","Current","Standard",28,"M",21,23.79,5.9,"No",3,1,2,2,2,4,4,4,2,3,3,4,3,3,3,2,3,NA,NA
230,"Atlantic","Current","Signature",54,"F",1,20.79,4.5,"No",1,2,1,1,1,3,3,1,2,3,4,3,4,1,2,1,3,NA,NA
231,"Ontario_prospect","Lapsed","Discovery",21,"F",4,22.01,3.2,"No",3,3,2,4,3,1,1,1,1,4,2,3,2,1,3,1,3,7.6,8
232,"Ontario_prospect","Lapsed","Discovery",45,"M",4,21.66,6,"No",2,2,3,3,2,3,3,2,3,3,1,3,4,3,2,3,3,NA,NA
233,"Atlantic","Current","Standard",42,"F",22,27.64,4.9,"No",2,2,1,2,2,1,3,2,3,5,3,4,3,4,3,3,3,NA,NA
234,"Atlantic","Current","Discovery",57,"F",21,26.65,6,"Yes",2,1,2,1,1,3,2,2,2,4,3,4,2,2,3,3,2,NA,NA
235,"Ontario_prospect","Lapsed","Discovery",57,"Nonbinary",20,18.18,5.6,"No",5,4,4,4,5,4,1,2,2,4,3,3,4,2,2,1,3,NA,NA
236,"Atlantic","Current","Standard",51,"M",6,24.5,6.4,"Yes",5,3,3,4,5,4,3,3,2,2,2,4,4,1,1,1,2,NA,NA
237,"Ontario_prospect","Current","Discovery",30,"F",32,25.38,6.6,"No",2,2,4,3,3,3,4,4,3,5,5,4,3,2,2,2,1,NA,NA
238,"Ontario_prospect","Current","Standard",40,"F",53,18.29,5.4,"No",4,5,5,5,2,4,2,4,3,4,2,4,4,4,4,4,4,NA,NA
239,"Atlantic","Current","Standard",27,"M",3,20.11,5.7,"No",3,4,3,5,4,5,4,5,5,4,4,3,2,4,4,4,4,NA,NA
240,"Atlantic","Current","Standard",44,"F",14,23.85,4.9,"Yes",4,3,5,3,5,3,3,3,3,4,2,4,4,3,3,3,2,6.4,7.8
241,"Atlantic","Current","Standard",37,"F",1,22.82,6.2,"Yes",2,4,3,5,4,4,4,5,3,3,3,4,4,3,3,3,4,NA,NA
242,"Atlantic","Lapsed","Standard",51,"F",8,17.85,3.2,"No",2,1,1,1,2,1,1,2,3,2,1,4,3,2,3,3,2,5,3.8
243,"Atlantic","Current","Standard",38,"F",12,21.45,4.5,"Yes",3,4,5,3,2,4,3,4,4,3,4,4,3,4,4,4,4,NA,NA
244,"Atlantic","Current","Signature",34,"F",13,26.71,5.3,"No",4,4,3,4,4,3,2,3,3,2,1,3,3,2,1,3,2,NA,NA
245,"Atlantic","Lapsed","Standard",24,"F",2,21.59,5.1,"No",3,4,3,3,4,4,4,3,4,4,4,4,3,4,2,3,4,NA,NA
246,"Ontario_prospect","Current","Standard",22,"M",11,16.02,6.1,"No",4,4,3,3,5,2,5,1,3,5,4,3,4,1,2,2,1,NA,NA
247,"Atlantic","Current","Standard",30,"F",5,22.07,5.2,"No",2,3,3,3,1,4,3,4,3,3,3,2,2,4,3,3,3,NA,NA
248,"Atlantic","Current","Standard",44,"F",15,17.64,5.4,"No",3,4,3,4,3,4,4,5,4,3,3,3,4,3,3,4,1,7.5,7.7
249,"Atlantic","Current","Standard",49,"F",17,24.78,5.2,"No",3,3,3,2,2,4,4,4,3,3,3,3,3,2,2,1,2,NA,NA
250,"Ontario_prospect","Current","Signature",21,"Nonbinary",19,19.49,8.7,"No",3,4,3,4,2,5,5,4,3,5,4,3,4,3,2,3,4,NA,NA
251,"Atlantic","Current","Standard",49,"F",7,25.12,5,"No",4,4,4,3,3,1,3,1,2,1,2,1,1,2,2,3,4,NA,NA
252,"Ontario_prospect","Current","Signature",45,"F",3,23.22,5.6,"No",4,3,3,4,2,4,2,4,3,2,2,2,1,3,2,4,2,NA,NA
253,"Atlantic","Current","Standard",47,"M",24,22.34,6.6,"Yes",1,4,1,1,2,5,5,5,5,4,3,3,3,3,3,5,3,NA,NA
254,"Ontario_prospect","Current","Signature",57,"F",68,16.66,6.3,"No",3,3,1,3,4,4,3,4,4,2,4,4,2,3,4,3,3,NA,NA
255,"Atlantic","Current","Signature",28,"M",40,24.82,6.8,"No",2,4,4,3,3,2,2,2,2,2,1,1,2,3,3,3,4,NA,NA
256,"Ontario_prospect","Current","Signature",41,"F",3,20.16,4.5,"Yes",3,3,3,2,4,3,2,3,3,5,5,5,4,3,4,4,4,7.3,8.5
257,"Ontario_prospect","Lapsed","Standard",35,"F",3,13.97,4.1,"No",2,2,2,2,3,3,2,2,3,5,4,3,4,1,2,2,3,NA,NA
258,"Atlantic","Current","Signature",37,"F",6,29.02,5.2,"No",2,2,3,4,2,2,3,3,4,3,2,2,3,4,3,4,3,NA,NA
259,"Atlantic","Lapsed","Signature",41,"M",8,26.02,2.7,"Yes",1,2,3,2,2,3,4,3,3,1,2,2,3,3,2,5,4,NA,NA
260,"Atlantic","Current","Standard",45,"M",40,21.28,6.5,"No",5,4,4,4,5,3,2,3,2,3,3,3,2,1,1,3,2,NA,NA
261,"Atlantic","Current","Standard",32,"F",1,19.53,6.5,"No",3,2,2,2,3,3,3,3,2,2,2,2,3,4,4,4,2,NA,NA
262,"Atlantic","Current","Standard",34,"F",3,21.22,7.6,"No",2,3,3,3,2,3,2,3,3,3,3,3,3,2,2,3,2,NA,NA
263,"Atlantic","Lapsed","Standard",55,"M",13,20.01,5.3,"No",4,4,3,5,4,2,3,3,2,4,4,4,5,5,5,5,5,NA,NA
264,"Atlantic","Lapsed","Signature",32,"F",18,16.63,4.9,"Yes",1,2,3,3,2,3,4,4,3,4,3,3,5,4,4,3,5,NA,NA
265,"Ontario_prospect","Current","Standard",49,"F",25,19.69,6.4,"Yes",3,3,3,2,1,2,3,4,4,2,2,4,3,5,5,5,5,NA,NA
266,"Atlantic","Current","Signature",29,"M",9,18.69,5.7,"Yes",1,1,1,1,1,4,4,3,4,2,4,3,3,2,1,2,2,NA,NA
267,"Ontario_prospect","Current","Discovery",32,"M",73,17.68,6.6,"Yes",1,2,3,1,2,3,5,3,2,2,3,4,5,4,3,3,1,NA,NA
268,"Atlantic","Current","Discovery",53,"F",1,26.89,8,"Yes",2,2,3,2,2,4,5,3,4,1,1,3,2,1,1,2,3,NA,NA
269,"Ontario_prospect","Lapsed","Signature",48,"M",3,17.37,2.8,"No",4,3,3,3,3,1,4,3,1,3,2,1,3,5,5,5,5,NA,NA
270,"Atlantic","Lapsed","Standard",37,"F",1,20.47,5.8,"No",5,4,3,4,3,3,2,4,2,2,2,3,3,3,3,3,2,6.5,6.3
271,"Atlantic","Lapsed","Discovery",36,"M",2,20.97,5.5,"No",2,3,1,3,1,3,4,3,4,5,5,4,5,3,3,4,4,NA,NA
272,"Ontario_prospect","Current","Standard",38,"F",2,19.96,4.9,"No",3,2,4,4,3,4,2,2,2,5,4,2,2,3,4,4,3,NA,NA
273,"Atlantic","Current","Standard",33,"M",5,20.62,6.8,"Yes",1,2,3,2,3,5,5,3,4,1,2,3,1,3,2,3,3,NA,NA
274,"Atlantic","Current","Signature",34,"M",14,23.45,3.4,"Yes",2,3,3,2,3,2,3,2,3,3,2,3,4,2,1,2,1,NA,NA
275,"Atlantic","Current","Signature",25,"M",7,21.1,7.4,"Yes",5,5,5,5,5,3,3,3,4,3,3,3,1,3,2,3,3,4.3,4.8
276,"Atlantic","Current","Signature",46,"M",85,25.78,5.5,"Yes",1,3,4,1,3,1,1,2,2,2,2,2,2,3,5,4,4,NA,NA
277,"Ontario_prospect","Current","Signature",26,"F",9,17.7,7.4,"No",1,3,3,3,1,3,4,2,3,3,4,3,4,2,4,3,2,NA,NA
278,"Atlantic","Current","Discovery",56,"F",2,27.56,6.9,"No",3,3,3,2,3,3,3,2,4,4,3,3,2,2,3,3,4,7.7,9.3
279,"Ontario_prospect","Current","Discovery",37,"F",6,22.12,6.7,"No",4,4,4,2,3,4,5,3,3,4,4,5,5,5,2,1,3,NA,NA
280,"Atlantic","Lapsed","Standard",56,"M",11,19.55,5.8,"Yes",2,3,2,3,3,3,4,3,2,4,4,3,4,2,1,2,2,NA,NA
281,"Atlantic","Current","Signature",32,"M",9,24.55,6.1,"No",3,3,2,2,3,3,2,3,3,3,3,2,3,1,2,3,1,5.4,7.5
282,"Ontario_prospect","Current","Standard",35,"M",23,28.46,6.3,"No",3,2,2,4,4,4,4,4,3,3,3,3,2,5,5,5,5,NA,NA
283,"Atlantic","Current","Signature",30,"F",23,22.36,6.5,"No",4,4,3,2,3,2,2,3,2,3,4,1,4,4,5,5,4,6.4,6.6
284,"Atlantic","Current","Standard",46,"M",25,22.37,6.5,"Yes",5,5,5,4,4,2,3,3,2,2,1,2,3,2,4,3,3,3.3,3.4
285,"Atlantic","Lapsed","Standard",65,"M",3,21.16,4.2,"Yes",3,3,3,4,2,3,5,4,4,4,2,4,2,2,2,2,1,NA,NA
286,"Atlantic","Current","Standard",35,"M",8,21.83,4.9,"Yes",3,3,4,4,3,1,3,2,3,2,2,3,2,3,3,3,3,NA,NA
287,"Atlantic","Current","Standard",38,"F",35,23.95,5.7,"Yes",4,4,4,5,4,3,2,2,4,2,4,2,1,5,3,4,4,NA,NA
288,"Ontario_prospect","Current","Standard",39,"F",35,20.24,5.9,"No",2,2,3,2,2,2,2,2,3,2,4,2,3,4,4,3,3,NA,NA
289,"Ontario_prospect","Lapsed","Discovery",41,"F",14,18.48,5.8,"No",4,4,5,3,4,1,3,3,3,4,5,4,5,3,3,4,3,NA,NA
290,"Ontario_prospect","Lapsed","Standard",53,"M",1,23.35,4.3,"Yes",3,3,5,3,4,1,2,3,2,3,5,4,3,1,3,3,2,5.9,5.9
291,"Atlantic","Current","Standard",52,"M",5,21.3,6.4,"No",4,2,4,3,2,3,4,3,3,3,3,4,4,5,5,5,4,6.5,6.2
292,"Ontario_prospect","Current","Standard",34,"Nonbinary",29,15.33,6,"Yes",4,3,2,3,5,5,4,5,5,4,4,4,4,4,5,5,3,NA,NA
293,"Atlantic","Lapsed","Discovery",30,"F",4,23.04,6.3,"No",5,4,4,3,5,4,4,4,3,4,4,4,2,4,5,3,3,NA,NA
294,"Ontario_prospect","Current","Standard",45,"M",90,18.03,7.1,"No",3,4,2,5,3,2,3,3,3,4,4,4,2,4,4,4,4,NA,NA
295,"Atlantic","Current","Discovery",49,"F",7,20.21,5.6,"No",1,1,1,1,1,3,4,2,4,3,3,4,3,4,3,5,4,NA,NA
296,"Atlantic","Current","Discovery",37,"F",10,23.63,4.3,"Yes",1,2,2,2,2,2,2,4,5,3,3,2,4,5,4,4,5,NA,NA
297,"Ontario_prospect","Current","Standard",21,"M",1,16.99,6.2,"No",5,5,5,5,4,4,4,3,5,3,3,3,2,2,3,3,2,NA,NA
298,"Ontario_prospect","Current","Standard",36,"M",11,21.74,5.2,"Yes",3,3,2,3,2,3,3,2,3,1,3,3,2,4,3,4,3,NA,NA
299,"Atlantic","Current","Signature",29,"F",32,24.83,7.8,"No",3,5,5,5,3,4,4,3,2,3,4,4,5,2,2,2,2,NA,NA
300,"Atlantic","Current","Discovery",47,"F",2,25.26,6.5,"Yes",3,3,3,2,3,5,4,3,3,3,4,4,2,3,3,5,3,6.1,5.1
301,"Ontario_prospect","Current","Standard",33,"F",2,29.06,7.7,"No",3,4,3,4,4,4,3,3,3,4,5,5,5,3,4,3,3,6.9,11.5
302,"Ontario_prospect","Current","Discovery",51,"F",1,25.25,6,"No",1,2,3,2,2,4,2,3,3,4,3,5,3,4,3,3,3,NA,NA
303,"Atlantic","Current","Standard",34,"M",64,22.12,4.7,"No",3,2,3,5,2,4,3,5,2,2,4,3,5,2,3,3,2,NA,NA
304,"Atlantic","Current","Signature",39,"M",11,17.95,5.8,"No",2,3,3,3,2,2,1,3,3,3,4,4,3,3,2,3,2,NA,NA
305,"Atlantic","Current","Signature",41,"M",48,28.49,6.7,"Yes",3,1,4,3,4,3,3,3,2,3,4,2,3,1,3,2,2,NA,NA
306,"Atlantic","Current","Signature",41,"M",67,23.98,6.7,"No",4,4,4,3,3,3,2,3,4,2,3,2,2,4,4,5,5,NA,NA
307,"Atlantic","Current","Standard",56,"M",25,19.54,5.3,"Yes",1,1,1,1,3,4,2,4,5,2,3,2,1,2,2,1,3,NA,NA
308,"Atlantic","Current","Signature",38,"Nonbinary",6,22.82,5.4,"No",3,3,3,4,3,2,3,2,4,4,4,3,3,3,3,3,4,NA,NA
309,"Ontario_prospect","Current","Standard",31,"F",25,19.5,5.3,"Yes",2,3,2,1,2,2,3,4,3,4,3,3,4,3,4,4,3,NA,NA
310,"Atlantic","Current","Standard",46,"F",2,21.37,7.2,"Yes",2,3,2,3,2,5,5,5,4,5,5,5,5,3,3,4,3,6.4,6
311,"Ontario_prospect","Current","Signature",28,"M",4,15.18,6.5,"Yes",4,2,4,4,4,4,2,3,2,3,2,4,4,4,5,4,4,6.6,6.5
312,"Atlantic","Current","Signature",39,"F",12,26.76,5.6,"No",4,4,4,5,5,3,2,3,4,2,2,3,3,2,3,2,2,NA,NA
313,"Atlantic","Current","Standard",49,"F",10,22.82,5.3,"No",4,4,4,5,4,1,1,2,1,3,2,3,3,3,3,2,2,NA,NA
314,"Ontario_prospect","Current","Signature",43,"M",4,20.95,6.4,"No",3,3,4,4,4,3,4,2,3,5,4,5,5,4,3,4,5,5.7,6.6
315,"Atlantic","Current","Discovery",34,"M",85,23.66,6.6,"No",4,3,3,3,4,4,3,3,2,2,3,2,3,1,2,1,1,NA,NA
316,"Ontario_prospect","Current","Standard",30,"F",31,16.77,6.8,"Yes",4,5,4,5,5,3,4,2,5,3,3,3,2,4,5,3,4,4.3,4
317,"Ontario_prospect","Current","Standard",35,"F",12,20.81,5.9,"Yes",1,1,1,1,2,4,3,4,4,3,3,4,3,3,5,4,5,NA,NA
318,"Atlantic","Current","Signature",28,"M",52,25.83,6.6,"No",5,5,5,5,4,2,3,4,4,4,4,5,4,3,2,2,3,NA,NA
319,"Atlantic","Current","Discovery",26,"F",8,24.74,6.5,"Yes",4,4,4,4,3,2,2,1,2,2,2,3,1,3,3,4,5,NA,NA
320,"Ontario_prospect","Current","Signature",61,"F",42,20.41,5.8,"No",1,3,3,2,2,3,4,4,5,4,5,3,3,3,3,3,4,5.1,4.8
321,"Atlantic","Current","Standard",47,"M",50,19.1,6.7,"No",4,4,1,4,3,2,2,1,1,2,2,2,4,2,3,2,3,NA,NA
322,"Atlantic","Current","Standard",40,"M",7,21.72,5.7,"Yes",2,2,4,3,3,3,4,2,3,4,2,4,3,3,3,3,3,NA,NA
323,"Ontario_prospect","Current","Signature",42,"F",18,21.53,6.7,"No",4,4,5,4,3,2,3,3,2,2,2,4,4,2,1,3,2,7.2,7.5
324,"Atlantic","Current","Discovery",27,"F",14,20.64,6.2,"No",5,3,4,3,4,3,3,4,3,4,3,4,4,3,3,2,3,5.6,7.3
325,"Ontario_prospect","Current","Standard",29,"F",39,19.11,7.3,"No",4,4,3,2,4,1,1,1,2,5,5,5,5,2,1,1,2,NA,NA
326,"Atlantic","Current","Signature",36,"F",2,21.97,6.7,"No",4,4,3,5,3,3,2,2,2,3,2,1,3,1,2,2,3,5.8,7
327,"Atlantic","Current","Signature",45,"M",51,25.34,4.9,"Yes",5,4,5,4,3,5,3,4,5,3,3,2,2,2,1,1,3,NA,NA
328,"Atlantic","Lapsed","Signature",34,"M",1,24.55,5.5,"Yes",5,5,5,5,5,2,2,3,2,3,4,5,4,4,3,4,2,5.1,4.8
329,"Atlantic","Current","Standard",58,"M",63,19.98,6.1,"Yes",1,2,2,4,2,3,4,4,4,3,3,3,4,2,3,2,2,NA,NA
330,"Atlantic","Current","Standard",30,"M",31,21.37,4,"No",3,4,4,2,5,2,1,1,1,2,2,2,3,2,3,2,4,NA,NA
331,"Atlantic","Current","Standard",43,"F",12,23.27,5.9,"No",2,3,3,3,3,5,5,5,3,3,5,4,4,3,1,3,2,NA,NA
332,"Atlantic","Current","Signature",34,"F",29,19.96,5.4,"Yes",2,1,2,1,3,1,2,3,3,3,4,4,2,2,3,2,3,NA,NA
333,"Ontario_prospect","Current","Standard",37,"F",20,19.6,5.4,"No",3,3,4,2,3,3,4,4,3,3,3,1,2,2,3,2,3,5.5,4.8
334,"Atlantic","Lapsed","Standard",32,"F",9,16.01,4,"Yes",2,3,2,2,1,4,4,2,3,1,1,1,2,4,4,3,4,NA,NA
335,"Atlantic","Lapsed","Discovery",53,"M",1,17.15,6.7,"Yes",2,2,4,2,3,2,2,2,3,4,3,4,3,4,4,4,5,NA,NA
336,"Atlantic","Current","Standard",57,"F",10,20.56,6.1,"Yes",4,5,3,5,3,5,5,4,3,4,5,3,4,4,2,4,5,NA,NA
337,"Atlantic","Current","Signature",52,"M",13,24.51,6.4,"Yes",5,5,3,4,2,2,3,3,3,2,2,2,2,3,4,4,3,4.9,5.8
338,"Ontario_prospect","Current","Standard",37,"M",28,20.29,5.8,"Yes",4,2,3,1,1,3,2,2,1,4,2,2,2,3,3,2,3,3.5,5.4
339,"Ontario_prospect","Current","Discovery",34,"F",14,27.99,6.4,"Yes",3,3,2,2,3,2,3,3,2,4,4,3,4,2,1,3,3,5.7,6.6
340,"Ontario_prospect","Current","Signature",52,"F",41,18.93,6.9,"Yes",3,3,4,5,3,4,4,5,3,2,1,3,1,2,2,2,2,7.3,6.8
341,"Ontario_prospect","Current","Standard",27,"F",1,18.81,5.5,"Yes",2,3,1,3,1,2,2,3,3,3,3,3,4,3,3,3,3,NA,NA
342,"Ontario_prospect","Current","Signature",21,"M",2,22.39,4.8,"No",3,4,3,3,3,1,2,2,1,3,3,1,3,2,2,2,2,NA,NA
343,"Atlantic","Current","Discovery",29,"F",39,22.42,4.7,"Yes",4,4,5,4,3,3,2,2,2,2,3,2,3,1,3,3,1,NA,NA
344,"Atlantic","Current","Discovery",35,"F",6,22.62,7.3,"Yes",3,3,3,2,4,3,1,3,1,3,2,2,3,3,1,2,3,NA,NA
345,"Atlantic","Current","Signature",45,"M",1,28.19,6.7,"Yes",3,3,4,3,2,3,4,3,3,2,2,2,1,4,4,3,4,NA,NA
346,"Atlantic","Current","Standard",59,"M",22,19,6.9,"No",3,4,3,4,2,4,4,3,4,3,3,2,3,1,3,2,1,6.4,6.4
347,"Atlantic","Current","Signature",34,"F",14,25.62,6.1,"No",3,3,3,3,3,3,4,3,4,2,3,2,2,3,1,2,3,NA,NA
348,"Atlantic","Current","Signature",37,"F",8,32.45,8.3,"No",4,5,4,4,3,1,2,2,3,4,5,5,4,4,4,2,4,NA,NA
349,"Atlantic","Current","Discovery",37,"F",73,21.84,6.7,"No",3,4,4,5,5,3,4,4,5,4,5,4,4,3,4,2,3,NA,NA
350,"Ontario_prospect","Lapsed","Discovery",34,"F",14,21.18,4.3,"Yes",3,3,4,3,3,3,3,3,2,3,4,5,3,4,3,5,4,NA,NA
351,"Atlantic","Lapsed","Discovery",44,"F",2,22.42,5.7,"Yes",2,3,3,2,2,5,3,3,3,1,2,3,3,4,2,2,1,NA,NA
352,"Atlantic","Current","Standard",53,"M",26,20.1,4.9,"Yes",3,4,4,3,3,2,4,4,2,4,3,3,4,2,1,4,2,NA,NA
353,"Atlantic","Current","Signature",36,"M",32,24.73,5.6,"Yes",4,5,4,4,5,2,2,2,3,2,2,2,1,2,3,4,3,NA,NA
354,"Atlantic","Current","Standard",49,"F",11,21.98,5.4,"Yes",1,3,1,1,1,5,4,5,4,4,3,4,5,4,3,3,1,NA,NA
355,"Atlantic","Current","Standard",31,"F",31,20.85,7.2,"Yes",2,2,5,3,5,4,3,3,3,3,3,2,3,4,3,2,1,NA,NA
356,"Atlantic","Current","Discovery",54,"F",45,25.42,7.1,"Yes",4,2,3,4,3,4,4,2,3,2,2,3,4,4,3,3,4,7,7.2
